Influencer,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Outgoing Interactions,Incoming Interactions,Total Interactions
MrBeast,1.0666666666666667,0.549621212121212,0.5246612466124662,0.09275275365711484,23,25,48
Dream,0.37777777777777777,0.006212121212121212,0.37738791423001944,0.037756070831679284,7,10,17
shane,0.15555555555555556,0.04137205387205387,0.1388888888888889,0.03750577462785721,2,5,7
Technoblade,0.35555555555555557,0.021717171717171718,0.3741062801932367,0.035779566841052275,7,10,17
Quackity,0.37777777777777777,0.006717171717171718,0.3741062801932367,0.03559740030139252,8,9,17
Sapnap,0.35555555555555557,0.0044444444444444444,0.3741062801932367,0.03511560931684314,7,9,16
TommyInnit,0.35555555555555557,0.0044444444444444444,0.3741062801932367,0.03511560931684314,7,9,16
GeorgeNotFound,0.35555555555555557,0.0044444444444444444,0.3741062801932367,0.03511560931684314,7,9,16
Wilbur Soot,0.33333333333333337,0.0,0.3741062801932367,0.0344931484021042,6,9,15
blndsundoll4mj,0.08888888888888889,0.01952861952861953,0.10582010582010581,0.030169331658093268,2,2,4
KSI,0.35555555555555557,0.0030303030303030303,0.36459510357815444,0.030150880620250613,8,8,16
jeffreestar,0.11111111111111112,0.044149831649831654,0.10582010582010581,0.027880537144146074,2,3,5
Vikkstar123,0.3111111111111111,0.0,0.361531279178338,0.025888316009150356,7,7,14
Miniminter,0.3111111111111111,0.0,0.361531279178338,0.025888316009150356,7,7,14
W2S,0.3111111111111111,0.0,0.361531279178338,0.025888316009150356,7,7,14
TBJZL,0.3111111111111111,0.0,0.361531279178338,0.025888316009150356,7,7,14
Zerkaa,0.3111111111111111,0.0,0.361531279178338,0.025888316009150356,7,7,14
Behzinga,0.3111111111111111,0.0,0.361531279178338,0.025888316009150356,7,7,14
Jason Nash,0.08888888888888889,0.013257575757575758,0.08547008547008547,0.025149194540387915,2,2,4
James Charles,0.17777777777777778,0.11157407407407409,0.08888888888888889,0.022770822917273642,4,4,8
PewDiePie,0.17777777777777778,0.171506734006734,0.4435280641466208,0.02263238587229184,3,5,8
Valkyrae,0.24444444444444446,0.13417508417508417,0.3875875875875876,0.02084667491973735,7,4,11
David Dobrik,0.08888888888888889,0.02251683501683502,0.07168458781362007,0.0206687458905759,2,2,4
jacksepticeye,0.15555555555555556,0.010311447811447813,0.3234753550543024,0.017136742419485634,4,3,7
Mark Rober,0.08888888888888889,0.03686868686868687,0.35264116575591986,0.016952340150293666,2,2,4
Markiplier,0.13333333333333333,0.06767676767676767,0.3284139100932994,0.016421944380470226,3,3,6
LazarBeam,0.08888888888888889,0.03737373737373737,0.3497741644083107,0.01561777858577911,2,2,4
Pokimane,0.17777777777777778,0.019696969696969695,0.29876543209876544,0.015407253362113505,4,4,8
Disguised Toast,0.17777777777777778,0.019696969696969695,0.29876543209876544,0.015407253362113505,4,4,8
Michael Reeves,0.2,0.008922558922558924,0.2376918354818907,0.015208069270579485,4,5,9
Liza Koshy,0.08888888888888889,0.036405723905723913,0.05847953216374269,0.015153185923287633,2,2,4
Corpse Husband,0.06666666666666667,0.0,0.3813559322033898,0.015083471311972236,0,3,3
LilyPichu,0.15555555555555556,0.0,0.23509411050394655,0.013319478977483652,4,3,7
Sykkuno,0.11111111111111112,0.0002525252525252525,0.3708812260536398,0.013140418337300994,2,3,5
jschlatt,0.24444444444444446,0.003367003367003367,0.35851851851851846,0.01203639976359811,8,3,11
Veritasium,0.06666666666666667,0.000505050505050505,0.26394001363326514,0.011747156970615484,1,2,3
fresh,0.044444444444444446,0.0,0.2591700133868809,0.010177081557794813,1,1,2
jake paul,0.08888888888888889,0.0,0.34695340501792116,0.010170787633669062,2,2,4
Lilly Singh,0.08888888888888889,0.05004208754208755,0.04728132387706856,0.009979856358320993,3,1,4
Tati,0.06666666666666667,0.0,0.06535947712418301,0.008378577503376419,2,1,3
Niki Nihachu,0.2,0.00202020202020202,0.27229254571026723,0.007884031420093585,9,1,10
Karl,0.06666666666666667,0.0,0.34417777777777775,0.006967332414862437,2,1,3
Dolan Twins,0.08888888888888889,0.0015151515151515152,0.022222222222222223,0.005734431561242492,3,1,4
emma chamberlain,0.06666666666666667,0.0,0.022222222222222223,0.005164341811672241,2,1,3
William Osman,0.08888888888888889,0.007744107744107744,0.022222222222222223,0.004542468750024741,3,1,4
I did a thing,0.06666666666666667,0.0,0.0,0.0035395859444613226,3,0,3
